Token Number    Value
271             main
123             {
270             a
61              =
258             10
59              ;
270             b
61              =
258             20
59              ;
273             if
40              (
270             a
259             <
270             b
41              )
123             {
275             imprime
40              (
270             a
41              )
59              ;
125             }
274             else
123             {
275             imprime
40              (
270             b
41              )
59              ;
125             }
273             if
40              (
270             b
259             <
270             a
41              )
123             {
275             imprime
40              (
270             a
41              )
59              ;
125             }
274             else
123             {
275             imprime
40              (
270             b
41              )
59              ;
125             }
125             }
