Token Number    Value
271             main
123             {
270             a
61              =
258             100
59              ;
272             while
40              (
270             a
260             >
258             0
41              )
123             {
275             imprime
40              (
270             a
41              )
59              ;
270             b
61              =
258             50
59              ;
272             while
40              (
270             b
260             >
258             0
41              )
123             {
275             imprime
40              (
270             b
41              )
59              ;
270             b
61              =
270             b
45              -
258             10
59              ;
125             }
270             a
61              =
270             a
45              -
258             20
59              ;
125             }
125             }
